leftocci,rightocci,occipitocentral,central,leftcentral,rightcentral,frontocentral,leftfrontal,rightfrontal,id
-9.264312296817624e-06,5.1773965991725e-05,2.717355539105002e-05,6.158469343425739e-05,1.85700427842506e-05,8.131422487799662e-05,-1.1633518828286305e-05,3.210789856138691e-05,2.8487854200063486e-05,S01
0.00012657164894241924,1.0267723223877978e-06,-4.9579562578266405e-06,6.5694738168411506e-06,0.00010412218013244535,2.764887567740577e-06,-4.448001637632761e-06,4.0611229621055834e-05,8.674716856431176e-06,S02
4.335495057142585e-05,5.8570632109593045e-05,3.596337343317094e-05,7.95017714920122e-05,0.00010124339117473967,5.549247199540484e-05,2.9674633536759672e-05,3.171896048764812e-05,1.4576207215326733e-05,S03
-7.0725155621042655e-06,3.117440909353476e-05,1.2162033508693905e-05,-3.752253527014045e-05,6.423879989415981e-05,-1.5789501565003395e-05,4.87217316213216e-05,4.284571982023022e-05,1.8483283152742775e-05,S04
1.889205215223122e-05,1.888327069329572e-05,0.00011901020016578773,-5.906031741940214e-06,0.00012572117990337377,2.9916224267213534e-05,-1.5252006812393966e-05,4.714595646973854e-05,-4.307572357085306e-06,S05
3.435095062456209e-05,8.857791979532514e-05,6.119665679830574e-06,1.8777117614463738e-05,5.104260750092781e-05,9.337865367657234e-06,-1.0783223158414285e-05,-2.30390865925677e-05,-1.0741812958748897e-05,S06
3.0160648826782797e-05,-1.854125425646265e-05,-2.895371512666092e-05,3.7271504627848723e-06,0.00013814278629000233,2.1809604039304727e-05,9.573563887801418e-07,3.8514253587765333e-05,-5.214559669712874e-06,S07
-3.5734859690859726e-06,2.1116014281223166e-05,-1.2056410409829125e-05,-8.922324567808799e-06,6.47026287474545e-06,2.0563065157971472e-05,2.654853994572255e-05,2.703616888253124e-07,-5.530396145863758e-06,S08
3.4531186607968686e-05,3.682227901946028e-05,1.111472658867246e-05,3.247991917710203e-05,3.659829798413323e-05,4.9169705458769516e-05,3.462330293709984e-05,3.0046923995148193e-05,4.623946874937454e-05,S09
-3.4749751964199975e-06,4.053034410618929e-05,2.173541071525905e-05,8.223985665646531e-05,3.402530733008665e-05,2.3608711842690077e-05,-3.846112629642548e-06,5.244904285670901e-06,5.688949879428066e-06,S10
